2024年4月
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024-04-05 23:20:03,121.779,24.2298,3.7,17.6,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 23:19:07,121.766,24.2352,3.6,17,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 23:14:33,121.524,23.8575,3.3,12.5,花蓮縣政府西南方  17.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-05 23:06:19,121.732,24.233,3.4,11.1,花蓮縣政府北北東方  29.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 23:02:47,121.758,24.2342,3.3,15.5,花蓮縣政府北北東方  30.4  公里 (位於花蓮縣近海)(花蓮縣近海)
147   ,2024-04-05 23:00:37,121.776,24.206,4.7,5,花蓮縣政府東北方  28.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 23:00:08,121.753,24.2355,3.7,16,花蓮縣政府北北東方  30.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 22:46:00,121.744,24.2372,3.6,15,花蓮縣政府北北東方  30.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 22:35:49,121.74,24.2313,3.5,11.7,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 22:11:35,121.629,24.117,3.7,16.8,花蓮縣政府北方  14.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 22:11:16,121.78,24.2535,3.4,17.3,花蓮縣政府北北東方  33.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 21:44:25,121.584,23.962,3.5,12.8,花蓮縣政府西南方  4.9  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024-04-05 21:39:19,121.832,24.2805,3.2,11.2,花蓮縣政府東北方  38.6  公里 (位於花蓮縣近海)(花蓮縣近海)
146   ,2024-04-05 21:34:31,121.718,24.1218,4,14.6,花蓮縣政府東北方  17.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 21:26:42,121.683,24.1692,3.8,6.8,花蓮縣政府北北東方  20.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 21:24:13,121.73,24.1943,3.5,13,花蓮縣政府北北東方  25.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 21:04:14,121.765,24.2427,3.3,17.4,花蓮縣政府北北東方  31.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 21:01:58,121.767,24.2355,3.8,17.3,花蓮縣政府北北東方  30.9  公里 (位於花蓮縣近海)(花蓮縣近海)
145   ,2024-04-05 20:59:12,121.761,24.2372,4.4,15.6,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 20:48:16,121.807,24.2298,3.5,16.6,花蓮縣政府東北方  32.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 20:16:32,121.648,23.8095,3.7,33.5,花蓮縣政府南方  20.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 20:14:59,121.699,24.1233,3.7,15.3,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 20:14:41,121.784,24.1998,3.5,5.3,花蓮縣政府東北方  28.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 19:51:51,121.698,24.1393,3.8,17.6,花蓮縣政府北北東方  18.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 19:51:45,121.616,24.0878,3.5,5.9,花蓮縣政府北方  10.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 19:44:21,121.575,24.1795,3.7,20.4,花蓮縣政府北北西方  21.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 19:44:00,121.676,24.1803,3.7,14,花蓮縣政府北北東方  21.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 19:21:49,121.668,24.1388,3.9,5.9,花蓮縣政府北北東方  17.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 18:47:56,121.615,24.0858,3.2,6.8,花蓮縣政府北方  10.5  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024-04-05 18:42:37,121.746,24.2165,3.5,13.4,花蓮縣政府北北東方  28.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 18:25:46,121.902,24.2272,3.9,9.4,花蓮縣政府東北方  38.8  公里 (位於臺灣東部海域)(臺灣東部海域)
144   ,2024-04-05 18:08:50,121.68,24.1277,4.1,12.7,花蓮縣政府北北東方  16.3  公里 (位於花蓮縣近海)(花蓮縣近海)
143   ,2024-04-05 17:53:36,121.763,24.2177,4.1,14.5,花蓮縣政府北北東方  29.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 17:39:55,121.744,24.3117,3.1,14.6,花蓮縣政府北北東方  37.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 17:16:52,121.795,24.0645,4.1,9.1,花蓮縣政府東北東方  19.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 17:15:16,121.569,23.8037,3.2,8,花蓮縣政府南南西方  21.4  公里 (位於花蓮縣近海)(花蓮縣近海)
142   ,2024-04-05 17:04:57,121.656,24.026,4.5,29.6,花蓮縣政府東北方  5.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 15:58:48,121.594,24.0932,3.6,7.4,花蓮縣政府北北西方  11.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 15:49:19,121.76,24.2578,3.2,5,花蓮縣政府北北東方  32.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 15:30:03,121.629,24.0727,3.9,10.6,花蓮縣政府北方  9.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 15:07:54,121.678,24.1045,3.6,14.6,花蓮縣政府北北東方  13.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 14:50:03,121.761,24.2263,3.6,12.6,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 14:32:58,121.696,24.1022,3.3,14.4,花蓮縣政府東北方  14.5  公里 (位於花蓮縣近海)(花蓮縣近海)
141   ,2024-04-05 14:16:07,121.685,24.1357,4.5,17.6,花蓮縣政府北北東方  17.3  公里 (位於花蓮縣近海)(花蓮縣近海)
140   ,2024-04-05 14:12:49,121.591,23.7993,5.1,10,花蓮縣政府南方  21.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 13:53:24,121.696,24.0957,3.3,16.9,花蓮縣政府東北方  13.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 13:50:20,121.867,24.2017,3.8,24.6,花蓮縣政府東北方  34.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 13:40:00,121.777,24.1908,3.3,19.8,花蓮縣政府東北方  27.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 13:27:30,121.71,24.1163,3.5,17.3,花蓮縣政府東北方  16.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 13:18:59,121.501,23.7538,3.6,15.6,花蓮縣政府南南西方  28.9  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2024-04-05 13:03:55,121.71,24.1148,4,16.4,花蓮縣政府東北方  16.5  公里 (位於花蓮縣近海)(花蓮縣近海)
139   ,2024-04-05 13:02:46,121.692,24.1305,4.1,16.1,花蓮縣政府北北東方  17.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 12:57:45,121.689,24.089,3.4,14.8,花蓮縣政府東北方  12.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 12:51:39,121.688,24.112,4.1,17,花蓮縣政府北北東方  15.1  公里 (位於花蓮縣近海)(花蓮縣近海)
138   ,2024-04-05 12:50:51,121.682,24.1305,5.4,8.3,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 12:43:20,121.785,24.1703,3.5,14.4,花蓮縣政府東北方  26.0  公里 (位於臺灣東部海域)(臺灣東部海域)
137   ,2024-04-05 12:40:54,121.756,24.2055,4.7,8.6,花蓮縣政府北北東方  27.5  公里 (位於花蓮縣近海)(花蓮縣近海)
136   ,2024-04-05 12:36:42,121.752,24.2213,4,13.7,花蓮縣政府北北東方  28.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 12:35:18,121.532,23.8982,3.1,10.6,花蓮縣政府西南方  13.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-05 12:08:16,121.738,24.2405,3.4,13.3,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 12:04:31,121.732,24.1325,3.5,17.1,花蓮縣政府東北方  19.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 11:47:18,121.529,23.7793,4,17.9,花蓮縣政府南南西方  25.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-05 11:41:14,121.672,24.0428,4,38.8,花蓮縣政府東北方  7.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 11:39:10,121.749,24.2302,3.7,12.6,花蓮縣政府北北東方  29.5  公里 (位於花蓮縣近海)(花蓮縣近海)
135   ,2024-04-05 10:10:35,121.587,23.925,4.2,6.8,花蓮縣政府南南西方  8.0  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024-04-05 10:08:52,121.705,24.1275,3.7,14.5,花蓮縣政府北北東方  17.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 10:01:09,121.739,24.2777,3.2,14.9,花蓮縣政府北北東方  34.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 09:53:33,121.802,24.063,4,24,花蓮縣政府東北東方  20.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 09:29:51,121.67,24.1632,4,15.5,花蓮縣政府北北東方  19.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 09:24:52,121.672,24.1703,3.7,26.6,花蓮縣政府北北東方  20.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 09:20:32,121.758,24.2543,3.7,12.6,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣近海)(花蓮縣近海)
134   ,2024-04-05 09:17:49,121.769,24.2478,4.1,13.8,花蓮縣政府北北東方  32.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 09:10:04,121.64,24.052,3.6,23.6,花蓮縣政府北北東方  7.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 09:02:03,121.825,24.3303,3.6,9.6,宜蘭縣政府南方  44.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024-04-05 08:42:06,121.663,24.1585,3.9,25.9,花蓮縣政府北北東方  19.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 08:35:31,121.754,24.23,3.3,14.7,花蓮縣政府北北東方  29.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 08:29:42,121.672,23.9798,3.8,36.1,花蓮縣政府東南東方  5.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 08:17:48,121.744,24.226,3.6,11.3,花蓮縣政府北北東方  28.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 07:57:05,121.748,24.243,3.2,11.7,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 07:34:07,121.574,23.7135,3.7,7.5,花蓮縣政府南方  31.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 06:23:18,121.746,24.2292,3.5,12,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 06:14:46,121.747,24.2245,3.4,11.2,花蓮縣政府北北東方  28.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 06:08:04,121.637,23.8678,3.9,38,花蓮縣政府南方  13.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 05:54:52,121.65,24.176,3.8,31,花蓮縣政府北方  20.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 05:54:20,121.765,24.2103,3.8,14.8,花蓮縣政府北北東方  28.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 05:28:16,121.709,24.1948,3.2,6.5,花蓮縣政府北北東方  24.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 05:20:27,121.75,24.2212,3.9,12.4,花蓮縣政府北北東方  28.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 05:14:49,121.697,24.2367,3,12.3,花蓮縣政府北北東方  28.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
133   ,2024-04-05 05:10:08,121.737,24.2453,4.1,9.9,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 05:02:50,121.734,24.2427,3.3,10.4,花蓮縣政府北北東方  30.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 04:30:26,121.673,24.1408,3.3,17.6,花蓮縣政府北北東方  17.5  公里 (位於花蓮縣近海)(花蓮縣近海)
132   ,2024-04-05 04:28:44,121.746,24.2348,4.4,10.8,花蓮縣政府北北東方  29.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 04:21:17,121.752,24.2295,3.4,13.9,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 04:11:59,121.743,24.2388,3.7,12,花蓮縣政府北北東方  30.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 03:55:31,121.864,23.8218,4.3,10.4,花蓮縣政府東南方  31.1  公里 (位於臺灣東部海域)(臺灣東部海域)
131   ,2024-04-05 03:48:08,121.748,24.2363,4.3,13.3,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 03:40:41,121.631,23.9638,3.4,25.1,花蓮縣政府南南東方  3.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 03:16:00,121.532,23.9153,3.8,6.6,花蓮縣政府西南方  12.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-05 03:03:50,121.732,24.0577,3.4,20.7,花蓮縣政府東北東方  13.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 03:03:45,121.669,24.3025,3.4,9.4,花蓮縣政府北方  34.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
130   ,2024-04-05 02:42:36,121.9,24.2857,4.6,5,花蓮縣政府東北方  43.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 02:36:59,121.8,24.2978,3.7,12.9,花蓮縣政府北北東方  38.6  公里 (位於花蓮縣近海)(花蓮縣近海)
129   ,2024-04-05 02:35:02,121.671,24.1568,5.3,31.2,花蓮縣政府北北東方  19.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 02:34:27,121.728,24.2577,3.3,5,花蓮縣政府北北東方  31.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 02:33:11,121.746,24.2495,3.5,11.7,花蓮縣政府北北東方  31.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 02:19:28,121.762,24.2288,3.3,14.7,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 02:18:37,121.76,24.2253,3.4,13,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 02:07:24,121.751,24.2477,3.4,12,花蓮縣政府北北東方  31.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:56:33,121.76,24.2385,3.3,13.9,花蓮縣政府北北東方  30.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:55:19,121.699,24.1302,3.4,16.9,花蓮縣政府北北東方  17.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:51:50,121.785,24.3037,3.3,13.5,花蓮縣政府北北東方  38.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:37:10,121.739,24.2425,4.1,14.6,花蓮縣政府北北東方  30.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:30:17,121.753,24.2422,3.7,14,花蓮縣政府北北東方  30.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:29:10,121.724,24.2695,3.3,10.3,花蓮縣政府北北東方  32.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-05 01:27:03,121.765,24.2337,3.9,13.7,花蓮縣政府北北東方  30.7  公里 (位於花蓮縣近海)(花蓮縣近海)
128   ,2024-04-05 01:24:51,121.76,24.2358,4.9,14.8,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
127   ,2024-04-05 01:22:41,121.745,24.246,4.1,12,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:16:32,121.781,24.2363,3.5,9.5,花蓮縣政府北北東方  31.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 01:00:41,121.749,24.1177,3.5,29.7,花蓮縣政府東北方  19.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-05 00:56:44,121.75,24.2567,3.4,11.8,花蓮縣政府北北東方  32.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 00:47:57,121.738,24.246,3.6,13.1,花蓮縣政府北北東方  30.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 00:32:14,121.772,24.2792,3.9,10.9,花蓮縣政府北北東方  35.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 00:25:22,121.749,24.2387,3.5,13.2,花蓮縣政府北北東方  30.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 00:21:24,121.756,24.2337,3.5,14.7,花蓮縣政府北北東方  30.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-05 00:13:33,121.745,24.2723,3.2,12.4,花蓮縣政府北北東方  33.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 23:56:37,121.746,24.2358,3.7,5.7,花蓮縣政府北北東方  30.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 23:39:15,121.515,23.8983,3.5,11.3,花蓮縣政府西南方  14.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-04 23:19:11,121.763,24.239,3.6,16.6,花蓮縣政府北北東方  31.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 23:15:03,121.765,24.2437,3.3,14.3,花蓮縣政府北北東方  31.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 23:02:19,121.76,24.2425,3.6,13.5,花蓮縣政府北北東方  31.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 23:00:28,121.728,24.2582,3.4,15.1,花蓮縣政府北北東方  31.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-04 22:59:33,121.734,24.2557,4,13.4,花蓮縣政府北北東方  31.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-04 22:56:51,121.76,24.248,4,13.7,花蓮縣政府北北東方  31.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:54:35,121.757,24.258,3.5,16.5,花蓮縣政府北北東方  32.7  公里 (位於花蓮縣近海)(花蓮縣近海)
126   ,2024-04-04 22:53:35,121.747,24.2563,4.2,11,花蓮縣政府北北東方  32.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:50:18,121.746,24.2472,3.5,13.3,花蓮縣政府北北東方  31.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:49:21,121.742,24.244,3.2,14.3,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:49:03,121.751,24.242,3.3,14.1,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:47:50,121.702,24.2858,3.5,5,花蓮縣政府北北東方  33.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-04 22:44:06,121.762,24.2382,3.6,12.4,花蓮縣政府北北東方  30.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:40:03,121.738,24.2508,3.3,13.9,花蓮縣政府北北東方  31.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:39:39,121.728,24.2215,3.5,17.8,花蓮縣政府北北東方  27.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:38:29,121.769,24.2302,3.3,15.8,花蓮縣政府北北東方  30.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:36:54,121.747,24.2362,3.7,14.4,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:34:23,121.747,24.2323,3.3,15,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:31:53,121.734,24.2327,3.4,16.6,花蓮縣政府北北東方  29.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:31:28,121.757,24.2403,3.9,13.3,花蓮縣政府北北東方  30.9  公里 (位於花蓮縣近海)(花蓮縣近海)
125   ,2024-04-04 22:30:07,121.748,24.2613,5.1,10,花蓮縣政府北北東方  32.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:27:18,121.673,24.0762,3.6,27.6,花蓮縣政府北北東方  10.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:09:05,121.62,23.9153,4.1,26.5,花蓮縣政府南方  8.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 22:05:16,121.662,24.0555,4,25.9,花蓮縣政府北北東方  8.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 21:53:08,121.76,24.2962,3.2,14.6,花蓮縣政府北北東方  36.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 21:43:01,121.839,24.1772,3.7,21.8,花蓮縣政府東北方  30.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-04 21:35:23,121.699,24.172,3.6,15.8,花蓮縣政府北北東方  21.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 21:34:50,121.833,24.1783,3.8,16.2,花蓮縣政府東北方  30.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-04 21:24:22,121.659,24.127,3.7,5.8,花蓮縣政府北北東方  15.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 21:19:18,121.586,23.769,3.7,6.5,花蓮縣政府南方  24.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 21:17:12,121.674,24.2393,3.3,15.1,花蓮縣政府北北東方  28.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024-04-04 21:13:31,121.581,23.7713,3.4,5.9,花蓮縣政府南方  24.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 21:04:43,121.527,23.8793,3.4,12.8,花蓮縣政府西南方  15.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024-04-04 20:40:22,121.671,24.1157,3.7,6.7,花蓮縣政府北北東方  14.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 20:35:59,121.74,24.244,3.5,10.2,花蓮縣政府北北東方  30.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 20:15:54,121.683,24.1663,3.4,9.1,花蓮縣政府北北東方  20.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 19:21:48,121.731,24.1083,4.1,4.2,花蓮縣政府東北方  17.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-04 19:10:19,121.703,24.1318,4.1,34.7,花蓮縣政府北北東方  17.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 18:59:34,121.658,24.0138,4,36.4,花蓮縣政府東北東方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 18:42:39,121.664,24.0403,3.8,26.3,花蓮縣政府東北方  7.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 18:10:32,121.852,24.19,4.2,19.5,花蓮縣政府東北方  32.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024-04-04 18:04:28,121.684,24.1135,3.1,7.3,花蓮縣政府北北東方  15.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 18:01:50,121.692,24.1893,3.5,19.3,花蓮縣政府北北東方  23.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 17:54:26,121.706,24.0478,3.7,20.2,花蓮縣政府東北東方  10.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 17:46:07,121.783,24.2865,3.3,12.2,花蓮縣政府北北東方  36.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024-04-04 17:36:14,121.617,23.926,3.4,24.2,花蓮縣政府南方  7.2  公里 (位於花蓮縣近海)(花蓮縣近海)
